"date","type","year","avg_price","size","nb_sold"
"2016-12-25","conventional",2016,1,"small",9255125.2
"2016-12-18","conventional",2016,0.96,"small",9394065.91
"2016-12-11","conventional",2016,0.98,"small",9009996.11
"2016-12-04","conventional",2016,1,"small",11043350.9
"2016-11-27","conventional",2016,1.21,"small",7891487.94
"2016-11-20","conventional",2016,1.27,"small",8531160.52
"2016-11-13","conventional",2016,1.36,"small",8235135.43
"2016-11-06","conventional",2016,1.44,"small",7804252.91
"2016-10-30","conventional",2016,1.43,"small",7100458.82
"2016-10-23","conventional",2016,1.34,"small",7579629.06
"2016-10-16","conventional",2016,1.3,"small",8810664.45
"2016-10-09","conventional",2016,1.27,"small",9552502.48
"2016-10-02","conventional",2016,1.23,"small",9534915.56
"2016-09-25","conventional",2016,1.22,"small",10548061.13
"2016-09-18","conventional",2016,1.15,"small",11337829.1
"2016-09-11","conventional",2016,1.08,"small",12962762.94
"2016-09-04","conventional",2016,1.04,"small",14643465.52
"2016-08-28","conventional",2016,1.09,"small",12561055.5
"2016-08-21","conventional",2016,1.1,"small",12725249.3
"2016-08-14","conventional",2016,1.12,"small",12352932.68
"2016-08-07","conventional",2016,1.15,"small",12197105.36
"2016-07-31","conventional",2016,1.23,"small",10168972.37
"2016-07-24","conventional",2016,1.2,"small",10331314.28
"2016-07-17","conventional",2016,1.15,"small",10320463.27
"2016-07-10","conventional",2016,1.1,"small",11457080.38
"2016-07-03","conventional",2016,1.06,"small",12508937.27
"2016-06-26","conventional",2016,1.04,"small",12189035.17
"2016-06-19","conventional",2016,1.02,"small",13488851.61
"2016-06-12","conventional",2016,1.04,"small",12291686.69
"2016-06-05","conventional",2016,0.97,"small",13808859.16
"2016-05-29","conventional",2016,0.94,"small",13682611.21
"2016-05-22","conventional",2016,0.93,"small",11711999.81
"2016-05-15","conventional",2016,0.89,"small",12447598.49
"2016-05-08","conventional",2016,0.82,"small",14223304.98
"2016-05-01","conventional",2016,0.84,"small",13748944.38
"2016-04-24","conventional",2016,0.87,"small",12913697.19
"2016-04-17","conventional",2016,0.9,"small",11954487.56
"2016-04-10","conventional",2016,0.9,"small",12879820.47
"2016-04-03","conventional",2016,0.94,"small",11320969.79
"2016-03-27","conventional",2016,0.94,"small",11249198.4
"2016-03-20","conventional",2016,0.93,"small",11134390.98
"2016-03-13","conventional",2016,0.93,"small",11661687.44
"2016-03-06","conventional",2016,0.95,"small",11824154.63
"2016-02-28","conventional",2016,0.91,"small",11907394.72
"2016-02-21","conventional",2016,0.94,"small",10015825.13
"2016-02-14","conventional",2016,0.88,"small",11913078.3
"2016-02-07","conventional",2016,0.76,"small",16573573.78
"2016-01-31","conventional",2016,0.93,"small",11098088.49
"2016-01-24","conventional",2016,0.95,"small",7020459
"2016-01-17","conventional",2016,0.94,"small",10036597.84
"2016-01-10","conventional",2016,0.93,"small",11441286.89
"2016-01-03","conventional",2016,0.86,"small",11616506.17
"2016-12-25","organic",2016,1.34,"small",93875.25
"2016-12-18","organic",2016,1.43,"small",97661.23
"2016-12-11","organic",2016,1.42,"small",93027.82
"2016-12-04","organic",2016,1.56,"small",106472.53
"2016-11-27","organic",2016,1.64,"small",100240.54
"2016-11-20","organic",2016,1.63,"small",110737.55
"2016-11-13","organic",2016,1.7,"small",110018.79
"2016-11-06","organic",2016,1.68,"small",117317.9
"2016-10-30","organic",2016,1.93,"small",123815.8
"2016-10-23","organic",2016,1.63,"small",131203.12
"2016-10-16","organic",2016,1.5,"small",114303.56
"2016-10-09","organic",2016,1.52,"small",127092.78
"2016-10-02","organic",2016,1.71,"small",131467.24
"2016-09-25","organic",2016,1.69,"small",119993.58
"2016-09-18","organic",2016,1.67,"small",127014.67
"2016-09-11","organic",2016,1.52,"small",144991.21
"2016-09-04","organic",2016,1.54,"small",137842.79
"2016-08-28","organic",2016,1.49,"small",135742.77
"2016-08-21","organic",2016,1.51,"small",177591.96
"2016-08-14","organic",2016,1.48,"small",186697.3
"2016-08-07","organic",2016,1.55,"small",151179.99
"2016-07-31","organic",2016,1.58,"small",156417.33
"2016-07-24","organic",2016,1.65,"small",159151.31
"2016-07-17","organic",2016,1.63,"small",152828.51
"2016-07-10","organic",2016,1.51,"small",152994.7
"2016-07-03","organic",2016,1.47,"small",159903
"2016-06-26","organic",2016,1.5,"small",171054.38
"2016-06-19","organic",2016,1.45,"small",166983.45
"2016-06-12","organic",2016,1.45,"small",176286.36
"2016-06-05","organic",2016,1.43,"small",152105.91
"2016-05-29","organic",2016,1.41,"small",137449.41
"2016-05-22","organic",2016,1.36,"small",166883.21
"2016-05-15","organic",2016,1.45,"small",146037.3
"2016-05-08","organic",2016,1.3,"small",132225.28
"2016-05-01","organic",2016,1.28,"small",238992.91
"2016-04-24","organic",2016,1.25,"small",225429.09
"2016-04-17","organic",2016,1.38,"small",115155.65
"2016-04-10","organic",2016,1.26,"small",108747.34
"2016-04-03","organic",2016,1.44,"small",119283.9
"2016-03-27","organic",2016,1.44,"small",112620.05
"2016-03-20","organic",2016,1.27,"small",105069.07
"2016-03-13","organic",2016,1.29,"small",132040.04
"2016-03-06","organic",2016,1.28,"small",127184.88
"2016-02-28","organic",2016,1.44,"small",110120.49
"2016-02-21","organic",2016,1.45,"small",104135.94
"2016-02-14","organic",2016,1.37,"small",102897.63
"2016-02-07","organic",2016,1.44,"small",101408.79
"2016-01-31","organic",2016,1.43,"small",108929.21
"2016-01-24","organic",2016,1.41,"small",99316.69
"2016-01-17","organic",2016,1.44,"small",115992.81
"2016-01-10","organic",2016,1.35,"small",113867.63
"2016-01-03","organic",2016,1.43,"small",124799.63
"2016-12-25","conventional",2016,1,"large",10282925.61
"2016-12-18","conventional",2016,0.96,"large",10339168.2
"2016-12-11","conventional",2016,0.98,"large",9967220.02
"2016-12-04","conventional",2016,1,"large",9908982.97
"2016-11-27","conventional",2016,1.21,"large",7337341.77
"2016-11-20","conventional",2016,1.27,"large",8033510.82
"2016-11-13","conventional",2016,1.36,"large",7759608.21
"2016-11-06","conventional",2016,1.44,"large",7126936.31
"2016-10-30","conventional",2016,1.43,"large",6852046.35
"2016-10-23","conventional",2016,1.34,"large",8104522.26
"2016-10-16","conventional",2016,1.3,"large",8855072.75
"2016-10-09","conventional",2016,1.27,"large",9579338.98
"2016-10-02","conventional",2016,1.23,"large",9123897.74
"2016-09-25","conventional",2016,1.22,"large",9255913.78
"2016-09-18","conventional",2016,1.15,"large",9481313.14
"2016-09-11","conventional",2016,1.08,"large",10380438.09
"2016-09-04","conventional",2016,1.04,"large",11083513.46
"2016-08-28","conventional",2016,1.09,"large",10420973
"2016-08-21","conventional",2016,1.1,"large",9906498.51
"2016-08-14","conventional",2016,1.12,"large",10879341.61
"2016-08-07","conventional",2016,1.15,"large",10731379.56
"2016-07-31","conventional",2016,1.23,"large",10423957.83
"2016-07-24","conventional",2016,1.2,"large",10795751.15
"2016-07-17","conventional",2016,1.15,"large",10628872.6
"2016-07-10","conventional",2016,1.1,"large",11677528
"2016-07-03","conventional",2016,1.06,"large",13315901.42
"2016-06-26","conventional",2016,1.04,"large",12029918.6
"2016-06-19","conventional",2016,1.02,"large",12842698.33
"2016-06-12","conventional",2016,1.04,"large",11533969.83
"2016-06-05","conventional",2016,0.97,"large",13396651.73
"2016-05-29","conventional",2016,0.94,"large",13829591.06
"2016-05-22","conventional",2016,0.93,"large",12981224.42
"2016-05-15","conventional",2016,0.89,"large",14437190.03
"2016-05-08","conventional",2016,0.82,"large",17896391.6
"2016-05-01","conventional",2016,0.84,"large",15899858.37
"2016-04-24","conventional",2016,0.87,"large",14382184.8
"2016-04-17","conventional",2016,0.9,"large",12896366.58
"2016-04-10","conventional",2016,0.9,"large",11538132.36
"2016-04-03","conventional",2016,0.94,"large",11512621.85
"2016-03-27","conventional",2016,0.94,"large",12745266.73
"2016-03-20","conventional",2016,0.93,"large",13727453.57
"2016-03-13","conventional",2016,0.93,"large",13104887.66
"2016-03-06","conventional",2016,0.95,"large",12196587.24
"2016-02-28","conventional",2016,0.91,"large",13210854.56
"2016-02-21","conventional",2016,0.94,"large",12003751.56
"2016-02-14","conventional",2016,0.88,"large",13187973.29
"2016-02-07","conventional",2016,0.76,"large",20470572.61
"2016-01-31","conventional",2016,0.93,"large",13278053.61
"2016-01-24","conventional",2016,0.95,"large",14054367.5
"2016-01-17","conventional",2016,0.94,"large",13832256.04
"2016-01-10","conventional",2016,0.93,"large",13226088.66
"2016-01-03","conventional",2016,0.86,"large",16054083.86
"2016-12-25","organic",2016,1.34,"large",250138.66
"2016-12-18","organic",2016,1.43,"large",248598.14
"2016-12-11","organic",2016,1.42,"large",248303.87
"2016-12-04","organic",2016,1.56,"large",242055.86
"2016-11-27","organic",2016,1.64,"large",198874.09
"2016-11-20","organic",2016,1.63,"large",233518.72
"2016-11-13","organic",2016,1.7,"large",257268.83
"2016-11-06","organic",2016,1.68,"large",266018.89
"2016-10-30","organic",2016,1.93,"large",279842.5
"2016-10-23","organic",2016,1.63,"large",241758.21
"2016-10-16","organic",2016,1.5,"large",243788.95
"2016-10-09","organic",2016,1.52,"large",266687.47
"2016-10-02","organic",2016,1.71,"large",272293.48
"2016-09-25","organic",2016,1.69,"large",272553.74
"2016-09-18","organic",2016,1.67,"large",266648.5
"2016-09-11","organic",2016,1.52,"large",334671.53
"2016-09-04","organic",2016,1.54,"large",344378.75
"2016-08-28","organic",2016,1.49,"large",316907.28
"2016-08-21","organic",2016,1.51,"large",308314.91
"2016-08-14","organic",2016,1.48,"large",341463.72
"2016-08-07","organic",2016,1.55,"large",332421.63
"2016-07-31","organic",2016,1.58,"large",328942.12
"2016-07-24","organic",2016,1.65,"large",343780.56
"2016-07-17","organic",2016,1.63,"large",359772.18
"2016-07-10","organic",2016,1.51,"large",355101.22
"2016-07-03","organic",2016,1.47,"large",381527.15
"2016-06-26","organic",2016,1.5,"large",391129.07
"2016-06-19","organic",2016,1.45,"large",445194.49
"2016-06-12","organic",2016,1.45,"large",403561.49
"2016-06-05","organic",2016,1.43,"large",410451.71
"2016-05-29","organic",2016,1.41,"large",468311.32
"2016-05-22","organic",2016,1.36,"large",455336.56
"2016-05-15","organic",2016,1.45,"large",437584.52
"2016-05-08","organic",2016,1.3,"large",443777.31
"2016-05-01","organic",2016,1.28,"large",484383.87
"2016-04-24","organic",2016,1.25,"large",524511.95
"2016-04-17","organic",2016,1.38,"large",388081.34
"2016-04-10","organic",2016,1.26,"large",400281.85
"2016-04-03","organic",2016,1.44,"large",371845.6
"2016-03-27","organic",2016,1.44,"large",338194.18
"2016-03-20","organic",2016,1.27,"large",352698.21
"2016-03-13","organic",2016,1.29,"large",346341.46
"2016-03-06","organic",2016,1.28,"large",351951.65
"2016-02-28","organic",2016,1.44,"large",347488.78
"2016-02-21","organic",2016,1.45,"large",281188.89
"2016-02-14","organic",2016,1.37,"large",306235.69
"2016-02-07","organic",2016,1.44,"large",290813.54
"2016-01-31","organic",2016,1.43,"large",269687.52
"2016-01-24","organic",2016,1.41,"large",270980.88
"2016-01-17","organic",2016,1.44,"large",266824.72
"2016-01-10","organic",2016,1.35,"large",287590.19
"2016-01-03","organic",2016,1.43,"large",246580.95
"2016-12-25","conventional",2016,1,"extra_large",541972.42
"2016-12-18","conventional",2016,0.96,"extra_large",427872.42
"2016-12-11","conventional",2016,0.98,"extra_large",403047.93
"2016-12-04","conventional",2016,1,"extra_large",428009.84
"2016-11-27","conventional",2016,1.21,"extra_large",344475.9
"2016-11-20","conventional",2016,1.27,"extra_large",407567.78
"2016-11-13","conventional",2016,1.36,"extra_large",477520.95
"2016-11-06","conventional",2016,1.44,"extra_large",505349.44
"2016-10-30","conventional",2016,1.43,"extra_large",453145.26
"2016-10-23","conventional",2016,1.34,"extra_large",452383.96
"2016-10-16","conventional",2016,1.3,"extra_large",447291.48
"2016-10-09","conventional",2016,1.27,"extra_large",490956.88
"2016-10-02","conventional",2016,1.23,"extra_large",490123.01
"2016-09-25","conventional",2016,1.22,"extra_large",492604.3
"2016-09-18","conventional",2016,1.15,"extra_large",486187.39
"2016-09-11","conventional",2016,1.08,"extra_large",512160.27
"2016-09-04","conventional",2016,1.04,"extra_large",540680.89
"2016-08-28","conventional",2016,1.09,"extra_large",563738.54
"2016-08-21","conventional",2016,1.1,"extra_large",609720.87
"2016-08-14","conventional",2016,1.12,"extra_large",749247.02
"2016-08-07","conventional",2016,1.15,"extra_large",754548.53
"2016-07-31","conventional",2016,1.23,"extra_large",783937.09
"2016-07-24","conventional",2016,1.2,"extra_large",947964.05
"2016-07-17","conventional",2016,1.15,"extra_large",953631.47
"2016-07-10","conventional",2016,1.1,"extra_large",1266433.97
"2016-07-03","conventional",2016,1.06,"extra_large",1761343.08
"2016-06-26","conventional",2016,1.04,"extra_large",1624942.43
"2016-06-19","conventional",2016,1.02,"extra_large",1642735.63
"2016-06-12","conventional",2016,1.04,"extra_large",1607344.08
"2016-06-05","conventional",2016,0.97,"extra_large",1770948.09
"2016-05-29","conventional",2016,0.94,"extra_large",1583495.93
"2016-05-22","conventional",2016,0.93,"extra_large",1640829.4
"2016-05-15","conventional",2016,0.89,"extra_large",1753852.61
"2016-05-08","conventional",2016,0.82,"extra_large",1993645.36
"2016-05-01","conventional",2016,0.84,"extra_large",1414364.49
"2016-04-24","conventional",2016,0.87,"extra_large",1599863.98
"2016-04-17","conventional",2016,0.9,"extra_large",1896149.5
"2016-04-10","conventional",2016,0.9,"extra_large",1666275.13
"2016-04-03","conventional",2016,0.94,"extra_large",1731910.48
"2016-03-27","conventional",2016,0.94,"extra_large",1880231.38
"2016-03-20","conventional",2016,0.93,"extra_large",1773088.87
"2016-03-13","conventional",2016,0.93,"extra_large",1800065.57
"2016-03-06","conventional",2016,0.95,"extra_large",1686475.33
"2016-02-28","conventional",2016,0.91,"extra_large",1560167.75
"2016-02-21","conventional",2016,0.94,"extra_large",1375260.47
"2016-02-14","conventional",2016,0.88,"extra_large",1811090.71
"2016-02-07","conventional",2016,0.76,"extra_large",2546439.11
"2016-01-31","conventional",2016,0.93,"extra_large",1643703.17
"2016-01-24","conventional",2016,0.95,"extra_large",1440380.36
"2016-01-17","conventional",2016,0.94,"extra_large",1419405.62
"2016-01-10","conventional",2016,0.93,"extra_large",1282612.91
"2016-01-03","conventional",2016,0.86,"extra_large",1560068.62
"2016-12-25","organic",2016,1.34,"extra_large",3415.27
"2016-12-18","organic",2016,1.43,"extra_large",4926.76
"2016-12-11","organic",2016,1.42,"extra_large",6116.44
"2016-12-04","organic",2016,1.56,"extra_large",2918.28
"2016-11-27","organic",2016,1.64,"extra_large",3381.69
"2016-11-20","organic",2016,1.63,"extra_large",3847.05
"2016-11-13","organic",2016,1.7,"extra_large",3669.98
"2016-11-06","organic",2016,1.68,"extra_large",5049.63
"2016-10-30","organic",2016,1.93,"extra_large",5661.78
"2016-10-23","organic",2016,1.63,"extra_large",4363.02
"2016-10-16","organic",2016,1.5,"extra_large",4732.27
"2016-10-09","organic",2016,1.52,"extra_large",5103.42
"2016-10-02","organic",2016,1.71,"extra_large",4904.25
"2016-09-25","organic",2016,1.69,"extra_large",4407.75
"2016-09-18","organic",2016,1.67,"extra_large",4597.27
"2016-09-11","organic",2016,1.52,"extra_large",3481.85
"2016-09-04","organic",2016,1.54,"extra_large",4653.04
"2016-08-28","organic",2016,1.49,"extra_large",5110.77
"2016-08-21","organic",2016,1.51,"extra_large",5831.02
"2016-08-14","organic",2016,1.48,"extra_large",10231.17
"2016-08-07","organic",2016,1.55,"extra_large",10707.18
"2016-07-31","organic",2016,1.58,"extra_large",9035.27
"2016-07-24","organic",2016,1.65,"extra_large",8612.44
"2016-07-17","organic",2016,1.63,"extra_large",9957.61
"2016-07-10","organic",2016,1.51,"extra_large",12180.53
"2016-07-03","organic",2016,1.47,"extra_large",11897.11
"2016-06-26","organic",2016,1.5,"extra_large",6763.46
"2016-06-19","organic",2016,1.45,"extra_large",12052.84
"2016-06-12","organic",2016,1.45,"extra_large",8626.89
"2016-06-05","organic",2016,1.43,"extra_large",7817.11
"2016-05-29","organic",2016,1.41,"extra_large",13698.09
"2016-05-22","organic",2016,1.36,"extra_large",15807.85
"2016-05-15","organic",2016,1.45,"extra_large",8120.53
"2016-05-08","organic",2016,1.3,"extra_large",26765.78
"2016-05-01","organic",2016,1.28,"extra_large",22276.6
"2016-04-24","organic",2016,1.25,"extra_large",8687.81
"2016-04-17","organic",2016,1.38,"extra_large",7878.94
"2016-04-10","organic",2016,1.26,"extra_large",12154.73
"2016-04-03","organic",2016,1.44,"extra_large",8628.68
"2016-03-27","organic",2016,1.44,"extra_large",7738.95
"2016-03-20","organic",2016,1.27,"extra_large",9425.64
"2016-03-13","organic",2016,1.29,"extra_large",6709.65
"2016-03-06","organic",2016,1.28,"extra_large",5698.2
"2016-02-28","organic",2016,1.44,"extra_large",10423.3
"2016-02-21","organic",2016,1.45,"extra_large",8629.03
"2016-02-14","organic",2016,1.37,"extra_large",6955.69
"2016-02-07","organic",2016,1.44,"extra_large",8028.75
"2016-01-31","organic",2016,1.43,"extra_large",5515.91
"2016-01-24","organic",2016,1.41,"extra_large",12933.97
"2016-01-17","organic",2016,1.44,"extra_large",13106.29
"2016-01-10","organic",2016,1.35,"extra_large",8771.79
"2016-01-03","organic",2016,1.43,"extra_large",7749.4